"orderid","customerid","orderdate","totalamount"
76,16,"2024-03-16","420.00"
77,17,"2024-03-17","430.00"
78,18,"2024-03-18","440.00"
79,19,"2024-03-19","450.00"
80,20,"2024-03-20","460.00"
81,1,"2024-03-21","470.00"
82,2,"2024-03-22","480.00"
83,3,"2024-03-23","490.00"
84,4,"2024-03-24","500.00"
85,5,"2024-03-25","510.00"
86,6,"2024-03-26","520.00"
87,7,"2024-03-27","530.00"
88,8,"2024-03-28","540.00"
89,9,"2024-03-29","550.00"
90,10,"2024-03-30","560.00"
91,11,"2024-03-31","570.00"
92,12,"2024-04-01","580.00"
93,13,"2024-04-02","590.00"
94,14,"2024-04-03","600.00"
95,15,"2024-04-04","610.00"
96,16,"2024-04-05","620.00"
97,17,"2024-04-06","630.00"
98,18,"2024-04-07","640.00"
99,19,"2024-04-08","650.00"
100,20,"2024-04-09","660.00"
101,1,"2024-04-10","670.00"
102,2,"2024-04-11","680.00"
103,3,"2024-04-12","690.00"
104,4,"2024-04-13","700.00"
105,5,"2024-04-14","710.00"
106,6,"2024-04-15","720.00"
107,7,"2024-04-16","730.00"
108,8,"2024-04-17","740.00"
109,9,"2024-04-18","750.00"
110,10,"2024-04-19","760.00"
111,11,"2024-04-20","770.00"
112,12,"2024-04-21","780.00"
113,13,"2024-04-22","790.00"
114,14,"2024-04-23","800.00"
115,15,"2024-04-24","810.00"
116,16,"2024-04-25","820.00"
117,17,"2024-04-26","830.00"
118,18,"2024-04-27","840.00"
119,19,"2024-04-28","850.00"
120,20,"2024-04-29","860.00"
121,1,"2024-05-01","870.00"
122,2,"2024-05-02","880.00"
123,3,"2024-05-03","890.00"
124,19,"2018-01-04","295.00"
125,15,"2020-01-21","418.00"
126,8,"2001-01-11","188.00"
127,9,"2000-01-30","141.00"
128,9,"2016-01-09","422.00"
129,11,"2021-01-28","140.00"
130,3,"2000-01-24","412.00"
131,6,"2003-01-26","404.00"
132,1,"2017-01-13","132.00"
133,4,"2020-01-20","360.00"
134,19,"2022-02-13","159.00"
135,14,"2017-02-08","306.00"
136,12,"2019-02-18","298.00"
137,5,"2022-02-15","124.00"
138,18,"2006-02-27","389.00"
139,7,"2023-02-01","167.00"
140,16,"2008-02-11","145.00"
141,16,"2018-02-13","365.00"
142,6,"2007-02-28","459.00"
143,11,"2017-02-15","161.00"
144,9,"2007-03-19","138.00"
145,2,"2019-03-13","181.00"
146,15,"2018-03-26","134.00"
147,14,"2004-03-04","272.00"
148,4,"2019-03-07","310.00"
149,4,"2017-03-05","220.00"
150,4,"2000-03-19","102.00"
151,4,"2012-03-24","452.00"
152,16,"2001-03-27","137.00"
153,15,"2023-03-22","316.00"
154,6,"2007-04-25","176.00"
155,1,"2004-04-20","461.00"
156,20,"2001-04-19","356.00"
157,11,"2009-04-18","340.00"
158,11,"2020-04-15","390.00"
159,15,"2019-04-04","375.00"
160,12,"2022-04-15","270.00"
161,8,"2018-04-26","271.00"
162,15,"2020-04-25","439.00"
163,3,"2001-04-01","246.00"
164,16,"2021-05-03","312.00"
165,1,"2020-05-01","477.00"
166,1,"2018-05-19","267.00"
167,16,"2002-05-27","385.00"
168,7,"2022-05-14","372.00"
169,4,"2014-05-12","142.00"
170,6,"2013-05-01","250.00"
171,4,"2012-05-12","152.00"
172,20,"2009-05-16","124.00"
173,5,"2009-05-09","161.00"
174,14,"2017-06-19","431.00"
175,16,"2006-06-25","196.00"
176,18,"2020-06-25","432.00"
177,15,"2015-06-19","126.00"
178,3,"2016-06-28","197.00"
179,17,"2018-06-29","200.00"
180,5,"2013-06-28","463.00"
181,7,"2013-06-27","330.00"
182,9,"2019-06-21","378.00"
183,6,"2019-06-13","158.00"
184,15,"2009-07-04","231.00"
185,14,"2000-07-14","259.00"
186,12,"2012-07-15","198.00"
187,3,"2023-07-20","303.00"
188,17,"2013-07-10","260.00"
189,2,"2015-07-25","140.00"
190,11,"2015-07-30","167.00"
191,16,"2008-07-29","124.00"
192,4,"2013-07-09","394.00"
193,20,"2022-07-22","315.00"
194,9,"2022-07-20","357.00"
195,3,"2024-07-24","333.00"
196,17,"2012-07-27","339.00"
197,2,"2015-07-09","346.00"
198,18,"2016-07-11","138.00"
199,5,"2012-07-27","191.00"
200,14,"2009-07-28","439.00"
